epoch,train_loss,val_loss,val_token_acc
1,2.705078090940203,2.6005823214848838,0.14825238039096197
2,2.546032956668309,2.4645744959513345,0.19759107381105423
3,2.429869089807783,2.3412482738494873,0.2746318231026332
4,2.304677563054221,2.1907914082209268,0.39853571852048236
5,2.158504102911268,2.0434914429982505,0.44192905724048615
6,2.037856238228934,1.9545170664787292,0.44166114926338196
7,1.970369849886213,1.9118351141611736,0.4416782309611638
8,1.9321649670600891,1.887419879436493,0.4420184592405955
9,1.9111409187316895,1.8710342248280842,0.44199976821740466
10,1.8935217303889138,1.8568314909934998,0.44099357227484387
11,1.8801561295986176,1.8435797095298767,0.4421789695819219
12,1.8658380338123866,1.8324259519577026,0.44156919916470844
13,1.8574177367346627,1.8199357986450195,0.4427647093931834
14,1.8425711606230055,1.8079648613929749,0.4426036775112152
15,1.831219026020595,1.7974607745806377,0.44294334451357525
16,1.8247988649777003,1.7858596245447795,0.4423137903213501
17,1.8144094049930573,1.7760207653045654,0.44281325737635296
18,1.8066182604857854,1.7659597198168437,0.4430011461178462
19,1.7999387724058968,1.7583031853040059,0.4439320961634318
20,1.7930251019341605,1.7464159329732258,0.4445952773094177
21,1.7823397517204285,1.7327107389767964,0.4477931360403697
22,1.7678479169096266,1.7142014702161152,0.4467454453309377
23,1.7532142358166831,1.6916940609614055,0.4484475602706273
24,1.7341073155403137,1.671787401040395,0.44726959864298504
25,1.722568256514413,1.6513092120488484,0.44551138083140057
26,1.7015936417239053,1.6306791702906291,0.449868842959404
27,1.6920583971909113,1.6121829946835835,0.44663305580616
28,1.6843433167253221,1.6001904606819153,0.44703254600365955
29,1.6682253309658595,1.5912931164105732,0.445316622654597
30,1.665513392005648,1.5797387758890789,0.4493199984232585
31,1.6568840486662728,1.5741012493769329,0.44667118787765503
32,1.643281945160457,1.568938632806142,0.4491887191931407
33,1.6401278930050986,1.5696168144543965,0.44550244013468426
34,1.6333756489413125,1.5650803446769714,0.44747209052244824
35,1.6313177389757973,1.559505542119344,0.45025651156902313
